education,edu_yrs,sex,capital_gain,hours_per_week,income
Masters,14,Female,0,40,>50K
Assoc-voc,11,Female,0,52,<=50K
HS-grad,9,Male,5178,40,>50K
Bachelors,13,Male,0,40,<=50K
Bachelors,13,Male,15024,40,>50K
10th,6,Female,0,20,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
9th,5,Female,0,23,<=50K
Some-college,10,Female,0,35,<=50K
HS-grad,9,Male,0,45,<=50K
HS-grad,9,Male,0,90,<=50K
HS-grad,9,Male,0,25,<=50K
Bachelors,13,Male,0,43,<=50K
Bachelors,13,Male,0,40,<=50K
Assoc-voc,11,Male,0,50,>50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,4,<=50K
HS-grad,9,Female,0,40,<=50K
11th,7,Female,0,30,<=50K
Some-college,10,Male,0,45,<=50K
HS-grad,9,Male,0,40,<=50K
10th,6,Female,0,36,<=50K
Some-college,10,Male,0,40,<=50K
HS-grad,9,Female,0,46,>50K
Some-college,10,Female,0,9,<=50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,0,40,<=50K
Masters,14,Female,0,40,<=50K
11th,7,Male,0,40,<=50K
Some-college,10,Male,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
Bachelors,13,Male,0,30,>50K
HS-grad,9,Female,0,46,<=50K
HS-grad,9,Male,0,40,<=50K
11th,7,Female,0,40,<=50K
7th-8th,4,Male,0,40,<=50K
Some-college,10,Male,7298,60,>50K
Some-college,10,Male,0,14,<=50K
Bachelors,13,Male,0,45,>50K
9th,5,Male,0,50,<=50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Male,0,40,<=50K
10th,6,Male,0,40,<=50K
Doctorate,16,Male,0,35,>50K
HS-grad,9,Male,0,40,<=50K
9th,5,Female,0,36,<=50K
9th,5,Male,0,60,>50K
HS-grad,9,Female,0,44,<=50K
Bachelors,13,Female,0,70,<=50K
Bachelors,13,Male,13550,45,>50K
HS-grad,9,Male,0,40,<=50K
Bachelors,13,Male,0,40,<=50K
Assoc-acdm,12,Male,7298,20,>50K
Bachelors,13,Male,0,55,>50K
Assoc-voc,11,Female,0,38,<=50K
HS-grad,9,Male,0,60,<=50K
Some-college,10,Male,0,43,<=50K
9th,5,Male,0,40,<=50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Female,0,45,<=50K
HS-grad,9,Female,2597,40,<=50K
HS-grad,9,Male,7298,40,>50K
HS-grad,9,Male,0,40,<=50K
Some-college,10,Female,0,12,<=50K
Assoc-acdm,12,Female,0,35,<=50K
Some-college,10,Female,0,40,<=50K
HS-grad,9,Female,0,20,<=50K
Some-college,10,Female,0,40,>50K
Bachelors,13,Male,0,40,<=50K
Some-college,10,Male,0,40,>50K
Prof-school,15,Female,14084,50,>50K
Some-college,10,Female,7688,40,>50K
HS-grad,9,Female,0,40,<=50K
Bachelors,13,Male,0,40,<=50K
HS-grad,9,Male,0,50,<=50K
7th-8th,4,Male,0,10,<=50K
Bachelors,13,Male,0,55,<=50K
Masters,14,Male,7298,40,>50K
Masters,14,Female,0,40,<=50K
Masters,14,Male,0,40,>50K
Some-college,10,Male,0,52,<=50K
Some-college,10,Male,0,40,>50K
Some-college,10,Male,0,37,>50K
Bachelors,13,Male,0,40,>50K
HS-grad,9,Female,0,38,<=50K
HS-grad,9,Male,0,40,<=50K
HS-grad,9,Female,0,40,<=50K
Bachelors,13,Male,0,70,>50K
9th,5,Female,0,40,<=50K
